Approved,Title,Category,Area,Description,URL,Tags
yes,Cherokee Nation official website,Official,Cherokee Nation,Official Cherokee Nation government website,https://www.cherokee.org,official government
yes,Cherokee Nation Election Commission,Elections,Cherokee Nation,Official election information and voter resources,https://election.cherokee.org,elections voting
yes,Cherokee Nation Gadugi Portal,Services,Cherokee Nation,Online access point for Cherokee Nation citizen services,https://gadugiportal.cherokee.org,services citizenship
yes,Cherokee Phoenix,News,Cherokee Nation,Cherokee Nation news and public information,https://www.cherokeephoenix.org,news
